SUPPLEMENTAL TABLE 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,"11,781",24,3,129,10,"6,972",118,58,9,12,227,155,5,4,202,33,15,40,25,19,7,407,183,137,68,7,71,6,11,71,7,194,23,481,75,4,127,57,90,96,12,22,D,57,657,-,-,55,5,450,177,5,33,D,123
Iraq,"3,646",3,D,82,3,585,28,11,4,3,29,24,-,D,299,21,-,6,29,3,3,23,31,"1,543",31,3,111,-,44,8,-,13,7,96,8,10,28,6,16,53,6,D,7,81,106,-,-,19,-,103,104,-,6,-,45
Israel,"2,373",4,D,11,D,654,18,21,D,D,182,12,D,D,139,5,D,8,D,13,D,58,59,51,15,D,22,D,7,16,5,155,3,514,22,D,62,D,7,58,5,18,D,13,79,-,3,4,D,30,26,D,17,-,33
Japan,"1,955",D,D,30,D,830,20,17,-,3,49,26,112,5,59,5,D,8,4,4,D,30,28,35,9,D,15,3,5,28,4,71,5,163,13,D,24,8,30,15,D,6,-,10,55,-,15,18,-,45,101,D,4,D,26
Jordan,"2,324",8,-,21,7,451,10,11,D,4,88,15,D,-,332,21,4,11,9,17,D,25,40,184,21,7,33,5,12,6,D,149,7,171,48,-,129,15,7,44,4,6,-,38,185,-,4,8,D,59,21,-,39,-,41
Korea,"17,184",27,80,113,19,"6,924",275,63,18,10,239,322,220,9,733,42,10,47,33,27,6,546,180,243,66,14,89,3,6,105,27,"1,186",24,"1,654",159,4,149,46,164,354,14,45,D,71,686,-,111,71,6,794,915,D,36,5,187
Kuwait,796,D,-,17,4,143,8,7,-,-,30,10,D,-,61,8,D,3,D,8,-,13,13,56,14,3,15,-,-,5,D,39,D,31,27,D,51,6,3,12,9,D,D,12,105,-,3,10,-,24,7,-,12,-,15
Laos,"5,678",25,41,14,54,"1,326",89,55,D,D,107,90,14,10,111,23,46,99,8,30,D,12,113,148,"1,126",D,21,7,19,33,7,6,7,40,195,-,96,25,73,35,53,14,D,164,194,-,D,55,D,56,175,-,737,-,114
Lebanon,"3,314",6,D,19,D,896,19,40,-,7,135,22,-,D,84,7,3,11,3,10,D,20,222,808,34,-,10,-,9,22,18,110,7,152,26,-,133,D,19,52,13,10,D,9,204,-,-,6,D,95,20,6,13,-,25
Macau,146,-,-,-,-,93,D,-,-,-,D,-,3,-,4,-,-,-,D,-,-,D,10,D,D,-,D,-,-,-,-,D,-,12,-,-,-,-,D,3,-,-,-,-,D,-,-,D,-,D,4,-,-,-,1
Malaysia,"1,019",D,4,15,4,305,11,4,D,3,33,18,5,D,24,8,D,7,3,7,D,35,25,23,16,6,8,3,5,12,D,47,-,130,8,-,26,10,8,23,D,4,-,10,83,-,3,-,D,30,25,D,9,-,8
Maldives,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolia,21,-,-,D,-,5,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,D,-,-,D,-,-,D,-,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-
Nepal,408,-,-,7,D,57,21,10,-,D,6,3,D,D,5,3,D,3,D,D,-,37,28,10,16,-,D,-,5,D,D,14,D,32,10,-,5,D,10,7,D,-,-,D,21,-,-,7,-,54,9,-,9,-,1
Oman,13,-,-,-,-,-,D,-,-,-,D,-,-,-,D,-,-,D,-,-,-,-,D,D,D,-,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pakistan,"8,744",17,4,41,12,"1,236",38,147,31,D,339,146,6,D,690,56,12,42,22,45,6,325,129,299,69,18,80,-,11,36,9,648,11,"1,511",106,D,157,53,12,201,19,15,-,54,"1,185",-,-,25,4,574,79,10,65,-,144
Philippines,"31,448",36,196,306,55,"14,854",168,160,40,24,"1,079",142,825,33,"1,604",97,36,74,39,47,17,592,148,394,117,42,171,21,35,947,28,"1,719",70,"1,447",144,17,268,80,165,255,34,125,15,117,"1,229",-,713,82,8,890,"1,137",14,109,9,474
Qatar,48,-,-,D,D,12,D,-,-,-,D,-,-,-,5,-,-,3,-,-,-,D,D,3,-,-,D,-,-,-,-,D,-,D,D,-,D,-,-,D,-,D,-,-,D,-,-,-,-,4,-,-,-,-,1
Saudi Arabia,354,D,D,D,D,73,7,7,-,D,20,5,-,-,31,D,-,D,D,D,-,10,9,25,6,D,3,-,D,D,D,19,D,13,5,-,17,3,D,7,-,D,-,4,36,-,-,D,-,18,D,-,D,-,8
Singapore,332,D,D,7,-,124,4,4,-,-,11,4,5,-,9,D,D,D,D,D,-,6,7,7,3,D,6,D,D,5,D,9,-,25,D,D,7,3,3,7,D,4,-,-,28,-,D,D,-,5,11,-,3,-,4
Sri Lanka,980,-,-,7,D,307,6,11,D,6,19,7,D,D,24,6,3,8,D,4,-,79,26,30,13,-,4,-,5,11,3,60,D,128,15,-,22,5,4,20,4,6,-,D,67,-,D,D,D,22,18,3,4,-,9
Syria,"2,385",3,-,21,D,732,13,10,D,D,92,15,-,-,178,13,4,14,D,13,-,30,88,183,7,D,8,D,D,11,D,131,D,324,10,D,76,19,10,123,19,10,-,14,97,-,D,5,-,48,16,7,7,-,18
Taiwan,"7,889",11,10,37,12,"4,542",59,27,8,D,96,59,26,3,166,27,7,33,12,7,D,150,144,123,32,5,48,D,7,52,16,383,7,432,43,D,124,13,34,101,15,20,D,28,436,-,18,33,3,105,268,3,31,D,64
Thailand,"3,779",15,22,41,7,"1,323",47,19,6,6,155,31,26,6,134,11,10,26,6,15,5,74,119,79,175,D,22,D,6,94,11,52,9,151,60,D,80,20,36,60,21,15,5,25,193,-,6,31,6,148,171,D,144,D,48
Turkey,"1,964",3,4,15,3,334,22,40,8,4,110,27,5,D,60,11,D,6,3,6,D,50,73,29,18,-,10,D,D,20,7,277,7,373,16,D,37,5,4,55,7,11,-,12,90,-,D,D,3,87,25,-,20,D,53
United Arab Emirates,168,-,-,3,-,29,D,D,D,-,6,4,-,D,15,D,-,-,-,-,-,3,8,18,3,-,3,-,-,D,-,7,-,13,D,D,D,D,-,7,-,D,-,-,23,-,-,-,D,4,D,-,4,-,2
Vietnam,"27,480",81,14,332,69,"11,043",435,129,25,56,808,715,83,51,605,132,167,295,107,269,26,330,"1,094",430,596,65,328,D,177,88,47,227,77,465,335,10,301,191,435,749,18,103,13,208,"2,993",-,16,188,26,782,"1,216",9,90,D,426
Yemen,822,D,-,D,-,173,D,6,6,-,5,D,D,-,37,14,D,-,D,4,-,6,D,262,3,4,D,-,-,-,-,5,-,217,10,-,9,-,D,D,-,D,-,3,9,-,-,-,-,14,11,-,-,-,8
Africa,"34,531",71,23,279,21,"4,087",562,357,137,225,"1,129","1,096",43,25,"1,221",184,93,124,117,100,77,"2,596","1,762",782,"2,249",32,435,11,126,202,47,"2,340",35,"3,377",657,27,"1,244",155,174,921,346,154,34,348,"2,561",D,17,149,17,"2,028","1,025",10,171,D,522
Algeria,616,D,-,3,-,106,18,6,D,5,27,8,-,-,31,7,D,3,-,6,D,13,57,24,6,-,D,-,D,D,3,28,D,92,7,-,21,3,4,22,D,D,-,3,35,-,-,D,-,34,19,D,D,-,9
Angola,87,-,-,D,-,10,D,5,-,-,D,-,-,-,-,-,-,-,-,-,-,5,20,D,-,-,-,-,-,3,-,15,-,6,D,-,-,-,D,D,D,-,-,-,4,-,-,D,-,4,-,-,-,-,2
Benin,42,-,-,-,-,D,D,D,-,-,D,D,-,-,D,D,-,-,-,-,-,14,D,D,D,-,-,-,-,-,-,D,-,5,-,-,D,-,-,D,-,-,-,-,D,-,-,-,-,4,-,-,-,-,-
Botswana,D,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-
Burkina Faso,19,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,D,-,6,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-
Burundi,59,-,-,3,-,6,D,D,D,-,D,-,-,-,D,-,D,-,D,-,-,3,-,D,D,-,-,-,-,-,D,-,-,10,D,-,3,D,-,-,D,-,-,-,10,-,-,-,-,3,-,-,-,-,1
Cameroon,575,D,D,4,-,42,D,3,3,7,9,26,4,D,10,3,-,D,6,4,D,161,21,16,34,-,6,D,D,-,4,13,-,32,11,-,22,8,D,7,-,-,-,3,52,-,-,D,-,34,3,-,9,-,6
Cape Verde,635,-,-,-,-,5,-,21,D,-,6,D,-,-,-,-,-,-,-,-,D,D,434,-,-,-,-,-,-,-,-,8,-,13,-,-,D,D,-,-,131,-,-,-,D,-,-,-,-,D,D,D,-,-,5
Central African Republic,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,1
Chad,27,-,-,5,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,D,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,9,-,D,D,-,-,-,-
Comoros,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-
"Congo, Democratic Republic",88,-,-,-,-,5,D,D,-,-,D,D,-,-,D,D,-,-,-,-,D,7,4,3,3,-,D,-,-,D,D,D,-,4,8,-,5,-,-,D,-,-,D,3,12,-,-,D,-,3,-,-,D,-,9
"Congo, Republic",163,-,-,3,-,22,D,D,-,D,4,D,-,D,6,D,D,-,D,D,D,18,11,4,6,-,4,-,D,D,3,D,-,15,10,-,6,-,D,3,D,-,D,-,8,-,-,5,-,10,3,-,D,-,-
Cote d'Ivoire,317,D,-,5,-,16,D,D,D,3,8,20,-,-,8,D,D,-,-,-,-,32,12,13,4,-,D,-,-,D,D,30,-,78,5,-,3,-,D,14,D,3,D,-,15,-,-,3,D,9,12,-,4,-,1
Djibouti,12,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,D,3,-,-,-,-,-,-,D,-,D,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-
Egypt,"3,726",6,D,14,D,772,10,41,31,5,159,27,D,D,98,16,7,10,13,12,-,55,102,109,70,D,17,D,D,14,7,709,D,529,52,D,153,14,9,146,15,17,D,84,124,-,D,D,3,144,46,D,15,-,52
Equatorial Guinea,3,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Eritrea,829,-,-,13,-,177,27,3,D,9,5,29,-,-,15,5,D,3,-,3,-,40,22,14,63,D,18,-,-,15,-,7,-,18,13,-,43,-,11,21,D,-,D,5,66,-,-,D,-,75,91,-,5,-,3
Ethiopia,"4,255",6,D,32,D,748,180,8,6,78,54,185,5,D,93,34,4,24,8,D,D,391,117,65,362,D,49,D,9,93,D,60,3,100,43,D,131,17,34,73,-,7,11,37,338,-,D,9,D,453,301,D,9,-,60
Gabon,12,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,D,-,-,3,-,-,-,-,D,-,-,-,-,1
"Gambia, The",136,-,-,-,-,6,-,-,D,D,D,10,-,D,D,D,-,4,-,-,-,22,D,5,6,-,D,-,D,-,-,6,-,20,5,-,D,-,D,3,D,-,D,D,8,-,-,-,-,D,15,-,D,-,2
Ghana,"3,577",D,3,14,-,157,49,69,13,9,60,114,4,4,165,8,5,4,12,5,D,295,189,50,84,D,13,D,4,5,-,394,D,789,67,-,165,25,D,82,28,13,-,19,161,-,D,4,D,393,33,D,10,-,46
Guinea,124,D,-,-,-,8,D,-,D,D,3,5,-,-,5,D,-,D,D,-,-,9,5,4,D,-,-,-,-,-,-,4,-,34,D,-,7,-,-,8,4,-,-,3,5,-,-,-,D,7,-,-,D,-,1
Guinea-Bissau,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,3,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Kenya,997,4,-,7,D,133,8,7,17,D,56,32,4,D,32,7,6,15,D,3,D,52,37,22,52,D,16,D,D,7,3,88,D,33,27,D,23,10,4,33,5,9,D,7,121,-,-,3,D,35,36,-,D,-,24
Lesotho,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Liberia,"1,218",D,D,4,3,63,11,9,4,D,18,53,D,-,37,D,D,D,D,3,D,117,49,31,177,D,15,-,3,D,-,81,D,82,48,-,42,4,D,85,56,10,-,5,71,-,D,-,D,61,4,D,13,-,35
Libya,130,-,-,D,-,28,D,3,D,-,7,3,-,-,3,-,-,-,D,D,-,D,7,4,D,-,3,-,-,D,-,6,D,8,5,-,7,3,4,-,D,D,D,-,7,-,-,D,-,6,7,-,D,-,-
Madagascar,30,-,-,-,-,D,-,D,-,-,D,D,-,-,D,D,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,D,-,7,-,-,-,D,-,-,-,-,-,D,D,-,-,-,-,4,D,-,-,-,-
Malawi,52,D,D,-,D,10,3,-,-,-,D,4,D,D,D,-,-,-,-,-,-,4,-,-,-,-,D,-,-,-,-,D,-,D,3,-,-,D,D,D,-,D,-,D,6,-,-,-,-,D,D,-,-,-,1
Mali,66,-,-,-,-,D,4,-,-,-,D,-,-,-,D,-,D,-,D,-,-,11,D,-,-,-,-,-,-,-,-,D,-,22,D,-,-,D,-,10,D,-,-,-,-,-,-,-,-,4,D,-,-,-,1
Mauritania,53,-,-,3,-,D,4,-,D,D,-,D,-,-,D,-,-,-,-,D,-,4,D,D,D,-,D,-,-,-,-,-,-,5,-,-,12,-,D,3,D,-,-,D,-,-,-,-,-,D,3,-,-,-,-
Mauritius,43,-,-,D,-,3,D,-,-,-,D,-,D,-,D,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,3,D,4,D,-,4,-,-,5,D,D,-,D,5,-,-,-,-,3,D,-,-,-,-
Morocco,"1,841",-,D,13,D,164,47,35,6,11,200,21,D,D,67,9,-,5,5,D,-,47,226,22,42,D,15,D,-,11,4,109,D,242,33,D,41,10,6,74,D,17,D,6,74,D,D,4,D,183,33,D,19,-,21
Mozambique,40,-,-,-,-,7,3,-,-,-,3,-,-,-,D,D,-,-,-,-,-,-,3,-,D,D,-,-,-,-,-,9,-,D,-,-,-,D,-,-,D,D,-,D,D,-,-,D,-,3,-,-,-,-,-
Namibia,13,-,D,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-
Niger,46,D,-,D,-,9,D,-,-,-,D,D,-,-,D,-,-,-,-,-,-,D,-,D,D,-,-,-,-,-,-,D,-,6,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,14
Nigeria,"6,470",28,7,38,7,610,38,50,27,54,180,274,7,-,435,39,9,27,16,41,D,822,159,178,161,11,99,3,14,19,3,507,6,730,112,-,134,40,10,130,60,29,-,61,985,-,6,8,D,114,52,-,27,-,100
Rwanda,116,D,-,D,D,8,D,D,-,-,3,D,-,D,-,4,5,-,5,-,D,4,3,5,D,-,3,-,D,-,-,D,-,3,16,-,16,-,D,D,-,-,-,3,4,-,-,-,-,7,D,-,D,-,5
Sao Tome & Principe,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,371,-,-,D,-,24,6,5,-,3,12,8,D,-,12,7,-,D,D,D,-,34,17,14,4,-,8,-,D,-,D,20,D,79,6,-,36,-,-,3,20,-,-,D,12,-,D,-,-,14,7,-,D,D,3
Seychelles,13,-,-,-,-,4,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,-,-,-,D,D,-,-,-,1
Sierra Leone,945,-,-,11,D,75,5,D,D,12,16,22,3,-,9,7,3,D,4,D,-,229,29,31,27,-,5,-,D,-,D,76,D,67,25,-,35,D,D,51,D,5,-,6,50,-,D,-,-,99,4,-,7,-,17
Somalia,"2,714",D,D,32,-,177,26,10,-,D,5,111,-,-,26,6,10,6,19,D,50,37,91,89,977,-,85,-,D,D,-,D,-,68,23,12,226,D,49,7,-,D,-,58,70,-,-,41,D,107,237,-,11,D,33
South Africa,"1,453",3,D,38,3,378,44,42,7,6,147,64,3,D,32,5,6,6,10,8,D,23,43,23,19,5,22,-,4,14,3,33,8,74,25,-,38,5,17,39,6,14,-,9,108,-,-,26,D,17,51,D,3,D,15
St. Helena,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan,"1,104",10,-,10,-,76,35,12,4,3,19,20,D,D,42,4,26,D,3,D,9,46,14,11,86,3,22,-,64,D,3,21,-,77,67,10,27,-,3,34,D,3,10,17,85,-,-,25,D,115,30,-,16,-,33
Swaziland,5,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanzania,348,-,-,3,-,56,4,D,4,D,33,11,-,4,21,D,-,3,D,-,-,17,16,7,14,-,6,-,D,D,D,28,D,23,3,-,4,-,-,21,-,9,-,D,27,-,-,-,-,9,9,-,-,-,4
Togo,204,-,D,3,-,16,5,3,D,3,10,5,D,-,11,D,-,D,D,D,D,24,3,D,17,-,-,-,7,-,D,9,-,34,6,-,7,D,-,4,-,-,-,-,3,-,-,-,-,15,5,-,D,-,-
