Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, People's Republic"," 31,241 ", 112 , 20 , 242 , 45 ," 8,890 ", 302 , 292 , 56 , 34 , 673 , 591 , 29 , 253 , 38 , 828 , 156 , 64 , 84 , 74 , 108 , 25 , 680 ," 1,322 ", 328 , 211 , 64 , 174 , 10 , 33 , 331 , 42 , 840 , 41 ," 8,795 ", 385 , 16 , 390 , 115 , 302 , 909 , 20 , 60 , 189 , 9 , 179 ," 1,434 ", 5 , 8 , 94 , 16 , 477 , 609 , 33 , 168 , 6 , 30 ,
Colombia," 17,207 ", 55 , 6 , 109 , 16 , 994 , 98 , 348 , 22 , 40 ," 6,466 ", 681 , - , 15 , 7 , 259 , 56 , 15 , 14 , 27 , 55 , 7 , 232 , 522 , 44 , 32 , 16 , 40 , 6 , 22 , 92 , 35 ," 1,746 ", 16 ," 2,200 ", 326 , D , 81 , 49 , 33 , 249 , 116 , 126 , 224 , 4 , 84 ," 1,102 ", 5 , D , 87 , 4 , 264 , 77 , 7 , 44 , D , 26 ,
Comoros, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - ,
"Congo, Democratic Republic"," 1,490 ", 8 , D , 49 , - , 61 , 41 , 26 , - , 5 , 25 , 80 , - , D , 19 , 120 , 8 , 38 , 5 , 67 , 5 , 20 , 88 , 69 , 8 , 18 , - , 28 , - , 5 , 4 , 15 , 5 , 3 , 98 , 114 , 11 , 29 , 4 , 13 , 36 , - , D , 5 , 13 , 14 , 215 , D , - , 16 , 6 , 45 , 35 , D , 7 , - , 2 ,
"Congo, Republic", 473 , 3 , 4 , 32 , - , 14 , 18 , 8 , - , D , 11 , 11 , - , - , 6 , 25 , 4 , 7 , 3 , 7 , 3 , 4 , 14 , 17 , 8 , D , - , 8 , - , 16 , 5 , - , 8 , D , 53 , 27 , 8 , 13 , 6 , - , 14 , - , D , D , D , 14 , 55 , - , - , 8 , 5 , 10 , 12 , - , D , D , 1 ,
Cook Islands, D , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Costa Rica," 1,633 ", 8 , - , 22 , 3 , 178 , 18 , 35 , 3 , 7 , 317 , 64 , - , 3 , D , 23 , 7 , D , D , 4 , 10 , 3 , 23 , 44 , 10 , D , D , D , - , D , 11 , D , 290 , 3 , 138 , 85 , - , 14 , 6 , 9 , 36 , 7 , D , 33 , D , 21 , 106 , - , - , 13 , 3 , 35 , 18 , - , 7 , - , 1 ,
Cote d'Ivoire," 1,078 ", 6 , - , 12 , D , 46 , 14 , 14 , 7 , 3 , 18 , 74 , - , D , - , 23 , 12 , 4 , D , - , 3 , D , 104 , 29 , 13 , 22 , - , 3 , - , 5 , D , - , 49 , - , 300 , 28 , D , 42 , 5 , D , 49 , - , 6 , 22 , D , 8 , 70 , 3 , - , 4 , D , 39 , 16 , 3 , 7 , - , 2 ,
Croatia, 563 , D , - , 25 , - , 61 , 8 , 6 , 4 , D , 51 , 22 , - , D , D , 46 , 12 , 9 , 4 , 3 , D , 5 , 10 , 13 , 10 , 5 , - , 13 , - , D , 14 , 3 , 23 , D , 63 , 11 , - , 44 , D , 3 , 12 , - , - , D , D , 6 , 26 , - , - , 10 , - , 7 , 4 , - , 16 , D , - ,
Cuba," 25,770 ", 18 , D , 133 , 5 , 288 , 27 , 32 , 4 , 6 ," 21,758 ", 197 , - , 7 , D , 87 , 13 , 10 , 11 , 222 , 82 , D , 27 , 37 , 49 , 13 , 10 , 49 , D , 62 , 412 , 4 , 421 , 52 , 307 , 110 , 3 , 23 , 15 , 88 , 113 , 143 , 6 , 57 , - , 68 , 633 , - , D , 12 , - , 84 , 38 , - , 19 , D , 7 ,
Curacao, 17 , - , - , - , - , D , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , D , 3 , - , - , - , D , - , - , - , - , - , - , - , 4 , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - ,
Cyprus, 107 , D , - , 3 , - , 18 , D , D , - , D , 9 , 3 , - , - , - , - , - , - , D , - , - , - , D , 10 , 4 , D , D , D , - , - , D , D , D , - , 28 , D , - , D , D , - , 4 , - , D , D , - , D , D , - , - , - , - , D , 4 , - , - , - , - ,
Czech Republic, 733 , 9 , 4 , 11 , 3 , 107 , 32 , 12 , D , 3 , 119 , 18 , - , D , - , 77 , 4 , D , D , 5 , 3 , D , 14 , 28 , 8 , 7 , D , 4 , D , D , 5 , D , 17 , D , 71 , 29 , - , 15 , 8 , 5 , 22 , - , D , 6 , - , 7 , 12 , - , - , 5 , D , 12 , 26 , D , 3 , D , 1 ,
Czechoslovakia (former), 371 , 5 , - , 11 , D , 49 , 28 , 4 , D , D , 44 , 8 , D , D , - , 20 , 6 , D , D , D , - , D , 8 , 9 , 4 , 3 , D , 3 , D , D , D , D , 18 , 3 , 45 , 12 , - , 4 , D , 4 , 8 , - , - , 4 , - , 7 , 16 , - , - , D , D , 3 , 13 , D , 3 , D , 2 ,
Denmark, 243 , D , - , 8 , D , 46 , 3 , 9 , - , D , 23 , 16 , - , D , D , 5 , - , D , - , - , D , D , 13 , 6 , 4 , D , - , D , D , - , - , D , 11 , - , 25 , 6 , - , 4 , - , 5 , 8 , - , D , D , - , 8 , 10 , D , - , D , - , 6 , 4 , - , D , - , - ,
Djibouti, 26 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , D , D , D , D , 3 , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , 3 , 4 , - , D , - , - ,
Dominica, 653 , D , D , D , D , 10 , - , 11 , - , - , 97 , 31 , - , - , - , 6 , D , - , - , D , D , - , 13 , 31 , D , D , D , 4 , - , - , D , 3 , 52 , - , 157 , 10 , - , 4 , 4 , - , 10 , D , D , 8 , - , D , 48 , - , 124 , D , - , 5 , D , D , D , - , 1 ,
Dominican Republic," 26,665 ", 12 , 27 , 38 , 9 , 114 , 22 , 439 , 36 , 41 ," 2,537 ", 224 , - , D , - , 81 , 31 , 5 , 7 , 12 , 81 , 10 , 240 ," 2,284 ", 55 , 15 , 9 , 23 , - , 7 , 30 , 72 ," 3,669 ", 4 ," 11,463 ", 239 , D , 105 , 17 , 7 ," 1,271 "," 2,017 ", 696 , 65 , - , 32 , 201 , 3 , 180 , 38 , 3 , 115 , 19 , 7 , 29 , D , 18 ,
East Timor, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Ecuador," 7,664 ", 12 , D , 42 , 4 , 391 , 26 , 362 , 19 , 4 ," 1,164 ", 101 , - , 7 , 3 , 210 , 17 , 7 , 10 , 14 , 25 , 4 , 103 , 98 , 12 , 58 , 4 , 18 , - , 6 , 31 , 7 ," 1,365 ", 9 ," 2,716 ", 139 , D , 28 , 11 , 11 , 121 , 18 , 11 , 52 , - , 13 , 199 , 3 , - , 58 , - , 102 , 25 , 4 , 7 , D , 8 ,
Egypt," 5,693 ", 15 , D , 43 , 7 , 990 , 23 , 50 , 16 , 13 , 309 , 55 , - , 5 , D , 135 , 32 , 7 , 7 , 14 , 21 , D , 73 , 193 , 67 , 64 , 8 , 17 , D , 5 , 9 , 12 ," 1,031 ", 4 , 848 , 117 , - , 100 , 7 , 37 , 247 , D , 7 , 34 , D , 355 , 276 , - , - , 8 , 9 , 315 , 60 , 11 , 22 , - , 7 ,
El Salvador," 16,930 ", 18 , 9 , 123 , 128 ," 6,603 ", 116 , 62 , 13 , 141 , 573 , 294 , D , 5 , 5 , 81 , 48 , 63 , 50 , 22 , 42 , 4 ," 1,149 ", 467 , 23 , 58 , 9 , 47 , D , 75 , 284 , 6 , 417 , 14 ," 1,294 ", 263 , D , 37 , 32 , 63 , 73 , 20 , 38 , 48 , 8 , 69 ," 2,689 ", D , D , 129 , - ," 1,030 ", 129 , 7 , 22 , 3 , 21 ,
Equatorial Guinea, 14 , - , - , 3 , D , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , 4 , - , - , D , - , - , - , - , - , - , - , - , - , - , - ,
Eritrea," 1,494 ", 5 , - , 44 , - , 276 , 47 , 3 , 3 , 28 , 12 , 80 , - , - , 5 , 39 , 21 , 21 , 3 , 12 , 5 , D , 98 , 32 , 5 , 47 , - , 20 , - , 6 , 50 , - , 9 , D , 38 , 29 , 3 , 59 , 12 , 14 , 23 , - , 5 , D , 16 , 13 , 174 , - , - , 14 , - , 100 , 115 , - , 3 , - , - ,
Estonia, 208 , - , - , 3 , - , 34 , 4 , 4 , - , - , 28 , 6 , - , D , D , 10 , 3 , D , - , - , - , D , D , 10 , D , 3 , - , D , - , D , D , - , 10 , - , 29 , D , - , 8 , - , 6 , 3 , - , - , D , D , - , 6 , - , - , - , D , 3 , 15 , - , 3 , - , - ,
Ethiopia," 8,312 ", 17 , 4 , 87 , D , 860 , 419 , 14 , 4 , 346 , 95 , 589 , - , D , 7 , 144 , 46 , 53 , 56 , 33 , 13 , 17 ," 1,054 ", 195 , 46 , 501 , 7 , 79 , D , 25 , 300 , D , 52 , 5 , 153 , 106 , 9 , 207 , 33 , 103 , 134 , - , 4 , 29 , 72 , 124 , 737 , D , D , 22 , D , 881 , 576 , 16 , 17 , - , 11 ,
Falkland Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Fiji, 850 , - , - , 3 , - , 646 , D , D , - , - , 8 , 3 , D , 8 , - , 7 , D , - , 3 , - , D , D , 4 , D , 3 , 4 , - , D , - , - , 4 , - , 3 , D , 3 , 4 , - , 6 , D , 29 , D , - , - , 4 , - , - , 8 , D , - , 6 , - , D , 76 , - , - , - , 1 ,
Finland, 301 , D , 4 , 7 , - , 76 , 3 , 4 , D , D , 31 , 17 , - , 3 , D , 6 , D , - , D , - , D , 3 , 5 , 8 , D , 4 , - , D , - , D , D , - , 3 , 5 , 18 , 10 , - , D , D , 6 , 3 , - , - , 4 , D , D , 29 , - , - , 5 , D , 11 , 8 , - , 3 , D , - ,
France," 2,784 ", 8 , - , 33 , - , 636 , 37 , 59 , 4 , 19 , 329 , 68 , D , 12 , 4 , 62 , 11 , 4 , 8 , 6 , 10 , 7 , 61 , 128 , 44 , 36 , 6 , 16 , D , 6 , 38 , 9 , 88 , 15 , 416 , 49 , D , 27 , 7 , 21 , 63 , 6 , 9 , 19 , D , 12 , 177 , - , 3 , 19 , 7 , 84 , 73 , D , 12 , D , 4 ,
French Polynesia, 14 , - , - , - , - , 4 , - , - , - , - , D , D , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - ,
Gabon, 89 , - , - , D , - , 7 , - , D , - , D , D , 5 , - , - , - , D , D , - , - , D , - , - , 11 , - , D , D , - , D , - , - , D , D , D , - , 8 , 4 , - , 6 , D , - , - , - , 7 , - , - , - , 17 , - , - , D , - , D , D , D , - , D , - ,
Gambia, 685 , 8 , 5 , 5 , - , 12 , 5 , D , D , D , 9 , 79 , - , - , - , 6 , D , D , 3 , 7 , D , - , 49 , D , 14 , 18 , D , 3 , - , D , D , - , 9 , - , 162 , 44 , - , 24 , D , 4 , 16 , - , 19 , 8 , - , 17 , 39 , D , - , D , - , 15 , 61 , - , 23 , - , 2 ,
Georgia," 1,027 ", D , - , 4 , D , 156 , 11 , 16 , 3 , D , 41 , 23 , - , - , D , 29 , D , 4 , D , D , D , - , 34 , 10 , 4 , 3 , - , 3 , - , D , 7 , D , 113 , 3 , 395 , 13 , - , 13 , - , 7 , 47 , - , D , 6 , - , 3 , 19 , - , - , 4 , - , 19 , 19 , - , D , D , - ,
Germany," 4,380 ", 59 , 12 , 104 , 11 , 760 , 137 , 58 , 13 , 17 , 383 , 179 , - , 30 , 15 , 108 , 42 , 24 , 21 , 44 , 33 , 13 , 99 , 134 , 141 , 41 , 10 , 34 , 13 , 13 , 42 , 19 , 120 , 29 , 306 , 150 , 6 , 86 , 34 , 72 , 119 , D , 8 , 80 , 5 , 61 , 304 , 5 , 3 , 21 , 11 , 136 , 140 , 6 , 34 , D , 30 ,
Ghana," 6,033 ", 19 , D , 26 , 11 , 171 , 79 , 163 , 56 , 11 , 86 , 339 , - , 5 , 3 , 243 , 24 , 6 , 19 , 20 , 11 , D , 491 , 346 , 26 , 78 , 6 , 29 , D , 8 , 9 , 6 , 518 , 6 ," 1,366 ", 144 , 8 , 354 , 77 , 12 , 146 , - , 25 , 107 , - , 49 , 306 , 3 , - , 12 , 8 , 502 , 37 , 11 , 31 , D , 12 ,
Gibraltar, D , - , - , - , - , D , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Greece, 867 , - , D , 11 , - , 94 , 12 , 36 , 5 , D , 67 , 10 , D , D , - , 67 , 14 , D , 4 , 3 , 3 , - , 27 , 74 , 24 , 3 , - , D , - , D , 7 , 14 , 44 , D , 178 , 7 , - , 29 , D , D , 33 , D , 6 , 5 , D , 5 , 30 , - , - , 3 , - , 20 , 8 , D , 5 , - , 3 ,
Grenada, 664 , - , - , D , - , 12 , D , 6 , D , - , 54 , 15 , - , - , - , 4 , 3 , - , D , 3 , D , D , 21 , 6 , 3 , - , - , - , - , - , - , - , 21 , - , 426 , 3 , - , 3 , D , D , 8 , D , - , 10 , - , D , 29 , D , 8 , - , D , 10 , D , - , - , - , 1 ,
Guam, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Guatemala," 9,344 ", 35 , 7 , 168 , 38 ," 3,932 ", 75 , 123 , 24 , 21 , 594 , 216 , - , 6 , 16 , 257 , 32 , 37 , 30 , 19 , 47 , 3 , 230 , 340 , 19 , 50 , 12 , 34 , D , 105 , 164 , 3 , 320 , 22 , 512 , 101 , D , 33 , 53 , 109 , 75 , 10 , 237 , 30 , 15 , 62 , 690 , - , - , 105 , 5 , 204 , 85 , D , 20 , 3 , 11 ,
Guinea, 999 , 5 , - , D , D , 11 , 6 , 11 , 3 , D , 5 , 63 , - , D , - , 15 , 21 , D , - , 3 , D , - , 84 , 30 , 16 , 12 , 3 , D , - , D , 3 , D , 21 , - , 466 , 12 , D , 47 , - , D , 62 , - , 6 , 7 , - , 9 , 29 , - , - , D , - , 21 , 9 , D , 3 , - , 1 ,
Guinea-Bissau, 29 , - , - , - , - , D , - , 3 , - , - , D , - , - , - , - , - , - , - , - , - , - , - , 5 , 6 , - , - , - , - , - , - , - , D , - , - , 5 , D , - , - , - , D , - , - , D , - , - , - , D , - , - , - , - , - , - , - , D , D , - ,
Guyana," 5,162 ", 9 , D , 13 , D , 50 , 14 , 101 , 14 , 12 , 450 , 144 , - , 3 , - , 31 , 5 , 3 , 3 , D , D , D , 135 , 39 , 9 , 54 , D , 7 , - , - , 8 , D , 388 , D ," 3,362 ", 26 , - , 29 , 7 , D , 77 , - , D , 40 , D , 16 , 54 , - , 7 , 3 , - , 21 , 5 , 4 , - , D , 3 ,
Haiti," 14,053 ", 16 , D , 27 , - , 81 , 15 , 324 , 80 , 6 ," 6,800 ", 268 , - , 3 , - , 100 , 17 , 3 , 7 , 24 , 41 , 7 , 170 ," 1,446 ", 21 , 8 , D , 27 , - , 5 , 11 , 13 , 984 , D ," 2,670 ", 61 , D , 37 , 23 , 11 , 357 , 9 , 57 , 79 , - , 20 , 65 , 4 , 25 , 16 , D , 69 , 15 , 3 , 5 , - , 17 ,
Honduras," 5,039 ", 13 , D , 28 , 20 , 680 , 40 , 43 , 9 , 13 ," 1,070 ", 147 , - , 5 , 3 , 82 , 34 , 17 , 20 , 8 , 205 , D , 129 , 119 , 18 , 20 , 10 , 29 , D , 17 , 40 , 7 , 262 , 4 , 592 , 145 , - , 36 , 31 , 14 , 43 , 12 , 14 , 55 , 3 , 57 , 681 , D , - , 24 , D , 178 , 33 , 3 , 12 , D , 7 ,
Hong Kong," 1,716 ", 7 , D , 19 , D , 676 , 11 , 16 , 3 , 4 , 43 , 20 , D , 31 , 3 , 41 , 4 , D , 5 , 3 , 11 , - , 44 , 90 , 14 , 12 , D , 6 , - , D , 25 , 3 , 61 , - , 253 , 17 , - , 11 , D , 15 , 31 , 3 , 3 , 4 , - , 7 , 105 , D , 3 , 7 , - , 22 , 67 , - , 5 , - , - ,
Hungary, 941 , 5 , D , 10 , D , 157 , 28 , 25 , D , D , 206 , 14 , - , 5 , - , 30 , 5 , D , - , D , 3 , D , 13 , 18 , 12 , 6 , D , 9 , D , D , 13 , D , 55 , 3 , 131 , 12 , D , 23 , D , 10 , 18 , - , D , 6 , - , 8 , 35 , D , - , 5 , - , 20 , 21 , - , 10 , D , 3 ,
Iceland, 88 , - , D , D , - , 11 , 5 , D , - , - , 12 , 5 , - , - , - , - , - , - , - , D , D , D , - , 6 , D , D , - , D , - , - , D , 3 , - , D , 5 , 3 , - , 5 , D , - , - , - , 3 , - , - , - , D , - , - , - , - , D , 4 , - , D , - , 3 ,
India," 42,213 ", 308 , 9 , 505 , 109 ," 9,351 ", 316 , 626 , 175 , 33 ," 1,323 "," 1,978 ", D , 21 , 21 ," 2,562 ", 406 , 99 , 209 , 165 , 167 , 27 ," 1,095 "," 1,289 "," 1,029 ", 316 , 105 , 265 , D , 59 , 159 , 128 ," 4,349 ", 48 ," 2,964 ", 911 , 25 , 869 , 206 , 271 ," 1,656 ", 3 , 48 , 261 , 12 , 438 ," 4,334 ", D , 6 , 103 , 18 ," 1,524 ", 938 , 31 , 294 , 10 , 34 ,
Indonesia," 1,743 ", 12 , 3 , 32 , 8 , 679 , 51 , 14 , D , 6 , 48 , 60 , D , 14 , 5 , 29 , 12 , 3 , 8 , 4 , 5 , D , 36 , 18 , 10 , 10 , 6 , 8 , - , 3 , 19 , 27 , 44 , D , 132 , 16 , D , 18 , 20 , 21 , 79 , - , 3 , 7 , D , 11 , 128 , D , - , 5 , - , 35 , 67 , D , 5 , 5 , 5 ,
Iran," 10,344 ", 19 , 4 , 150 , 4 ," 6,323 ", 78 , 40 , 7 , 21 , 221 , 228 , - , 8 , 12 , 169 , 23 , 5 , 26 , 25 , 11 , 10 , 331 , 153 , 55 , 25 , D , 16 , - , 11 , 115 , 7 , 96 , 15 , 329 , 60 , D , 75 , 60 , 80 , 64 , D , 4 , 23 , - , 80 , 755 , - , - , 53 , D , 323 , 172 , 14 , 29 , - , 9 ,
Iraq," 14,899 ", 36 , D , 862 , 12 ," 3,263 ", 215 , 78 , D , 6 , 275 , 200 , - , 8 , 109 , 958 , 67 , 91 , 50 , 167 , 46 , 153 , 140 , 411 ," 3,016 ", 121 , 4 , 205 , D , 126 , 59 , 51 , 84 , 50 , 439 , 200 , 33 , 260 , 30 , 128 , 240 , - , 8 , 38 , 22 , 340 ," 1,288 ", - , - , 145 , 8 , 487 , 244 , 7 , 91 , D , 22 ,
Ireland," 1,375 ", 6 , - , 14 , D , 190 , 17 , 33 , 4 , 3 , 76 , 33 , - , 3 , 4 , 54 , 4 , D , D , 11 , 4 , 5 , 21 , 226 , 17 , 9 , D , D , D , - , 9 , 11 , 69 , 4 , 315 , 12 , - , 7 , D , 12 , 55 , - , 3 , 7 , - , 12 , 51 , - , - , 7 , D , 22 , 29 , - , 4 , - , - ,
Israel," 3,182 ", 7 , D , 51 , D , 798 , 19 , 23 , 6 , 8 , 352 , 70 , D , 6 , D , 107 , 17 , 7 , 3 , 7 , 17 , D , 74 , 94 , 34 , 7 , D , 16 , - , D , 64 , 5 , 201 , 3 , 721 , 37 , D , 46 , 8 , 11 , 72 , 3 , D , 16 , - , 15 , 147 , - , D , 5 , 3 , 34 , 41 , - , 11 , - , 2 ,
Italy," 2,760 ", 16 , - , 28 , D , 426 , 23 , 69 , 8 , 18 , 333 , 48 , D , 10 , 4 , 101 , 8 , 3 , 7 , 6 , 3 , D , 58 , 150 , 89 , 6 , 3 , 10 , 4 , D , 21 , 6 , 205 , 10 , 568 , 42 , - , 51 , 6 , 10 , 124 , 4 , 16 , 17 , D , 17 , 89 , D , - , 13 , - , 63 , 32 , 3 , 10 , - , 11 ,
Jamaica," 16,566 ", 55 , 7 , 65 , D , 249 , 43 , 944 , 68 , 29 ," 4,446 ", 885 , - , 5 , D , 199 , 25 , 3 , 14 , 14 , 28 , 31 , 518 , 452 , 60 , 22 , 38 , 50 , D , 9 , 20 , 22 , 975 , 4 ," 5,646 ", 157 , D , 93 , 50 , 10 , 431 , - , 25 , 217 , D , 28 , 284 , D , 12 , 9 , 9 , 202 , 32 , 13 , 28 , D , 29 ,
